Index	LogFC	FDR	VIP
PGCM01500	0.064104336	0.296450557	0.297559
PGCM01593	0.048975809	0.457938719	0.249134
PGCM01599	-0.271543781	0.001286326	1.45521
PGCM01635	0.032292158	0.544411513	0.316204
PGCM01638	-0.13931218	0.008284554	0.704768
PGCM01642	0.104524244	3.16E-05	0.840421
PGCM01650	-0.331038743	0.000569477	1.51367
PGCM01866	0.052099602	0.418630634	0.262311
PGCM01886	0.041116012	0.558008068	0.254497
PGCM01904	0.098439411	0.10041398	0.2631
PGCM01979	-0.027746689	0.125880962	0.163508
PGCM01983	-0.052211658	0.045856908	0.506483
PGCM01984	-0.100686589	0.188017709	0.528779
PGCM02108	-0.663946267	9.63E-06	2.6552
PGCM02141	0.010871367	0.489059864	0.106517
PGCM02202	-0.224550565	0.765552475	0.246726
PGCM02214	-0.087909445	0.269792638	0.477941
PGCM02226	0.102732038	0.02901969	0.703942
PGCM02259	-0.3282782	4.88E-06	1.34541
PGCM02276	-0.053157608	0.072664277	0.254641
PGCM02298	-0.049489415	0.048522156	0.459454
PGCM02306	-0.041859517	0.116197567	0.477584
PGCM02352	-0.186613484	1.20E-05	1.00812
PGCM02369	-0.307181511	0.000508566	1.00877
PGCM02375	-0.016268547	0.202824512	0.231044
PGCM02435	-0.026141264	0.036910229	0.137566
PGCM02477	-0.000980147	0.801740856	0.185748
PGCM02494	0.135981813	0.002249775	0.745214
PGCM02502	0.082098198	0.11465763	0.666383
PGCM02549	0.053219704	0.618267079	0.389376
PGCM02674	0.071665286	0.01791902	0.436277
PGCM02711	-0.018402605	0.059312886	0.285857
PGCM02738	0.074001407	0.199971986	0.398751
PGCM02857_L	-0.014773007	0.514229198	0.147475
PGCM02888	-0.133316832	0.036552482	0.782613
PGCM02890	-0.250447287	1.53E-05	0.988583
PGCM02905	-0.132858424	0.092468581	0.871592
PGCM02913	-0.150582486	0.044787363	0.850992
PGCM02915	-0.009615741	0.442877113	0.102996
PGCM02968	0.032033766	0.926556337	0.526424
PGCM03018	-0.106735028	0.231887439	0.544925
PGCM03021	0.239467236	0.026666348	0.677663
PGCM03099	-0.304632795	0.013378251	0.609235
PGCM03104	-0.205875983	0.004393192	0.573609
PGCM03126	0.046500409	0.105912602	0.383746
PGCM03140	0.488496028	0.565797041	0.550215
PGCM03157	-0.097302039	0.048390391	0.869678
PGCM03181	0.019566052	0.339022456	0.112973
PGCM03215	-0.183574169	0.213347991	0.0536262
PGCM03221	-0.030302679	0.233029982	0.102441
PGCM03236	0.055028943	0.052539913	0.644899
PGCM03241	-0.023545148	0.14506368	0.103696
PGCM03253	-0.01848881	0.076716539	0.218873
PGCM03353	-0.199788577	1.69E-05	1.03646
PGCM03374	-0.179748979	3.17E-05	1.0368
PGCM03380	0.008160871	0.731155729	0.385266
PGCM03402	-0.775108466	7.68E-10	2.35738
PGCM03450	0.084318673	0.15622768	0.781752
PGCM03494	-0.016406276	0.242844555	0.311565
PGCM03577	-0.147562893	0.041750407	0.878457
PGCM03593	-0.145541159	0.045084119	0.875211
PGCM03632	-0.008416822	0.527605554	0.22344
PGCM03656	-0.67357457	7.96E-05	2.31302
PGCM03699_R	-0.020451541	0.53018654	0.432237
PGCM03714	-0.295405817	3.03E-06	1.31022
PGCM03725	0.354983157	0.001060931	1.08706
PGCM03755	-0.019818216	0.303263182	0.129867
PGCM03759_L	-0.029407267	0.129702038	0.441333
PGCM03773	0.336485517	0.000647955	1.232
PGCM03817_L	0.078945918	0.000173718	1.32781
PGCM03817_R	-0.155793911	0.078193887	0.912559
PGCM03849	-0.124139009	0.171439817	0.610668
PGCM03911	-0.330934922	6.53E-09	1.24011
PGCM03932	0.076394304	0.122841613	0.346148
PGCM03933	-0.016952581	0.633479736	0.475636
PGCM03952	0.67059841	0.000548369	1.24577
PGCM03953	0.037443118	0.431611048	0.255269
PGCM03954	-0.030942656	0.468103422	0.459286
PGCM03979	0.01408564	0.67480762	0.152029
PGCM04016	0.080528836	0.006874904	0.456837
PGCM04041	0.069873028	0.017577105	0.621202
PGCM04061	-0.008676119	0.323420645	0.250444
PGCM04067_L	-0.32303789	0.002951416	0.561349
PGCM04067_R	-0.181762916	0.025854731	0.370425
PGCM04070_L	-0.119043382	3.43E-05	0.835901
PGCM04070_M	-0.069300763	4.69E-05	0.567272
PGCM04070_R	-0.018004894	0.519523848	0.565889
PGCM04083	0.397912531	1.70E-05	2.32164
PGCM04089_L	-0.100594954	0.027043512	0.98919
PGCM04089_R	0.127739027	0.326577647	0.518094
PGCM04152	0.263781689	0.004175655	1.15086
PGCM04176	0.034886076	0.451262663	0.130944
PGCM04293	0.399448205	0.000129174	2.35413
PGCM04340	-0.019843808	0.269792638	0.250536
PGCM04358	-0.036749815	0.712462002	0.111066
PGCM04370	-0.271666116	0.001806551	0.608124
PGCM04457	-0.046866253	0.114998146	0.42671
PGCM04473	-0.026277556	0.19759046	0.259
PGCM04520_L	-0.217564602	0.074225564	0.315263
PGCM04520_R	-0.207979977	0.025636032	0.44108
PGCM04549	2.373955914	0.021780994	1.48322
PGCM04577	0.02202089	0.136022	0.318848
PGCM04578	-0.02584728	0.131257829	0.257884
PGCM04600	-0.203679904	2.60E-07	0.773743
PGCM04622	0.449637342	0.152278864	1.02547
PGCM04647	0.015530335	0.644175456	0.514746
PGCM04660	-0.02565023	0.146164527	0.389853
PGCM04665	0.277583297	0.028571095	0.811393
PGCM04685	0.036787065	0.497700613	0.24798
PGCM04722	0.247288885	0.201260255	1.52018
PGCM04745_L	0.555955762	5.09E-05	1.92296
PGCM04745_R	0.33964268	0.016540434	1.64293
PGCM04756	-0.021354705	0.086811848	0.249995
PGCM04766	-0.206991567	0.000669629	0.639904
PGCM04771_L	0.545621872	0.000131161	1.87078
PGCM04771_R	0.348950213	0.013998801	1.60115
PGCM04775_L	0.560774401	5.26E-05	1.87605
PGCM04775_R	0.353762826	0.004015458	1.70849
PGCM04785	-0.032996223	0.041785161	0.320975
PGCM04802	-0.208144525	0.008691275	0.426287
PGCM04836	-0.095197443	0.029175229	0.469719
PGCM04847	-0.098395704	0.01595884	0.489841
PGCM04876_L	0.094585005	0.024067151	0.702342
PGCM04876_R	1.466993947	0.003511285	3.06831
PGCM04904_L	0.079196535	0.116318507	0.331887
PGCM04904_R	0.142484599	0.035200943	0.416373
PGCM04992	0.016099024	0.460133357	0.07446
PGCM05005	0.006296759	0.840112688	0.0305865
PGCM05043_L	0.011904571	0.284259589	0.582625
PGCM05043_R	-0.145142576	0.025912052	0.556041
PGCM05070	-0.01387427	0.510638327	0.189298
PGCM05078	0.088417003	0.000158056	0.643806
PGCM05094_L	1.435974795	0.000180126	2.35897
PGCM05099	0.09688899	0.229461217	0.541293
PGCM05148	-0.06511032	0.95865768	0.908013
PGCM05158	-0.03946314	0.666595871	0.378462
PGCM05296	-0.012873208	0.479122171	0.153721
PGCM05305	-0.095258195	0.099676893	0.502728
PGCM05378_L	0.211449533	0.016561103	0.868033
PGCM05378_M	-0.024552411	0.357530892	1.13995
PGCM05404	-0.034848896	0.01320983	0.357619
PGCM05435	-4.110384197	0.104128729	0.343661
PGCM05436	0.011647362	0.570825409	0.391798
PGCM05458	-0.034974078	0.1012267	0.324622
PGCM05476	0.41183366	0.426193524	0.80926
PGCM05482	-0.074164972	0.074605134	0.618986
PGCM05483	0.000519449	0.781731629	0.209017
PGCM05560	-0.069058082	0.169117228	0.469457
PGCM05572	-0.019884447	0.737872147	0.206183
PGCM05573	-0.080212511	0.136172245	0.163618
PGCM05576	-0.001964456	0.820066038	0.372531
PGCM05630	-0.374937998	2.92E-15	1.60686
PGCM05710	-0.004160956	0.508419438	0.233745
PGCM05756	0.017103509	0.529166872	0.419037
PGCM05766_L	-0.05517814	0.519523848	0.479671
PGCM05766_R	-0.054560241	0.187875534	0.485825
PGCM05769	0.098340277	0.157708689	0.226798
PGCM05771_L	-0.070162553	0.180759433	0.519357
PGCM05771_R	-0.05529306	0.190067665	0.434544
PGCM05790	-0.001223131	0.953029232	0.237917
PGCM05832	-0.02155943	0.573837711	0.138847
PGCM05842	-0.13361989	0.001069796	1.03619
PGCM05915_L	-0.061310379	0.366809948	1.17168
PGCM05923	-0.017173094	0.466286904	0.158577
PGCM05953_L	-0.086253378	0.098024672	0.565436
PGCM05953_R	-0.049161118	0.381949485	0.427524
PGCM05979_R	-0.017835035	0.677212498	0.624402
PGCM05984	0.031866551	0.735995987	0.90864
PGCM05987	-0.055285674	0.046616215	0.801054
PGCM06001_L	-0.168163697	1.81E-05	1.00186
PGCM06001_R	-0.195391604	4.16E-08	1.16059
PGCM06008	-0.162945772	2.62E-07	1.09539
PGCM06009_L	-0.02427882	0.236276238	0.451164
PGCM06012	-0.181720736	3.62E-08	1.13737
PGCM06029_L	-0.01907081	0.231847656	0.573396
PGCM06029_R	-0.00736099	0.342077446	0.565992
PGCM06037	-0.103616496	0.009265737	0.942219
PGCM06048_L	-0.167799847	6.14E-07	1.13135
PGCM06048_R	-0.126191398	1.71E-06	0.93553
PGCM06059	0.020442888	0.139565615	0.106078
PGCM06061	-0.029636824	0.044763862	0.139346
PGCM06063	-0.13931906	0.000756815	1.06465
PGCM06066	-1.597603616	0.015029971	1.99458
PGCM06076	-0.089068038	0.009133485	0.790381
PGCM06079	0.012957625	0.861437455	0.378553
PGCM06084_L	-0.304695201	9.47E-07	1.26237
PGCM06084_R	-0.291872255	9.83E-07	1.23363
PGCM06086	0.008203444	0.85927211	0.379187
PGCM06091	1.497919837	5.58E-07	2.91592
PGCM06121	0.16406331	0.394959426	0.502171
PGCM06136_L	-0.120993917	3.44E-07	0.983366
PGCM06136_R	-0.070812799	1.91E-05	0.694431
PGCM06137	-0.020132036	0.424536531	0.27148
PGCM06143	-0.125866412	2.10E-06	1.02836
PGCM06157	-0.150386221	0.095063936	0.6285
PGCM06180_L	-0.044922295	0.282088165	0.637467
PGCM06180_R	-0.058937214	0.119744745	0.693775
PGCM06184	-0.018568923	0.385539861	0.262256
PGCM06186	-0.111844281	1.92E-06	0.8886
PGCM06207_L	-0.130741122	0.000198637	0.956968
PGCM06207_R	-0.073328673	0.000663785	0.721841
PGCM06228	0.076506704	0.000752624	0.895532
PGCM06229	-0.16220223	0.000146376	0.854006
PGCM06240_L	-0.073803769	0.058986396	0.425396
PGCM06240_R	-0.046943569	0.252606727	0.351212
PGCM06256	0.01228759	0.424609773	0.17953
PGCM06259_L	-0.069673375	0.023332583	0.523057
PGCM06259_R	-0.066894124	0.03003895	0.494916
PGCM06262	0.024983893	0.640254998	0.376186
PGCM06265	-0.184173859	5.22E-07	1.0868
PGCM06271_R	-0.015556092	0.393021888	0.323673
PGCM06280	0.0122192	0.772545095	0.452561
PGCM06297	-0.11079525	0.001755114	0.880686
PGCM06343	0.014376556	0.345329199	0.215048
PGCM06359	-0.019871193	0.414600185	0.437261
PGCM06362	-0.017132631	0.498189118	0.50468
PGCM06363	-0.260736872	7.92E-06	1.26703
PGCM06364_L	-0.135961489	0.000612384	0.991947
PGCM06364_R	-0.076473701	0.004493868	0.49809
PGCM06374_R	0.058682462	0.069734165	0.33622
PGCM06379	-0.020317038	0.26300497	0.591666
PGCM06383_L	-0.185069576	1.49E-08	1.23353
PGCM06383_R	-0.13784025	6.37E-08	1.03489
PGCM06386	0.054897191	0.278754496	0.44185
PGCM06388_L	0.014479909	0.666868783	0.374015
PGCM06388_R	0.066042798	0.041505392	0.323918
PGCM06389	-0.006332586	0.677486109	0.607287
PGCM06396	-0.004590992	0.930880043	0.214619
PGCM06397_R	0.008599435	0.736796537	0.258557
PGCM06399	-0.157721921	9.15E-07	1.00935
PGCM06401	0.009161564	0.695189996	0.253154
PGCM06410	0.138361122	0.044462864	0.330215
PGCM06422_R	0.073380482	0.359046141	0.271367
PGCM06424	0.056816312	0.254061071	0.461516
PGCM06448	-0.038145779	0.119868178	0.260932
PGCM06491	-0.053075686	0.00061145	0.54652
PGCM06537	-0.109267932	0.250529284	0.815987
PGCM06540_L	-0.212446423	0.001377347	0.851404
PGCM06540_R	-0.181678062	0.009817262	0.811226
PGCM06549_L	-0.226972625	0.001195797	0.873961
PGCM06549_R	-0.189701053	0.007307557	0.812368
PGCM06551_R	-0.017137809	0.312192107	0.426258
PGCM06604	-0.129659974	2.62E-07	0.923905
PGCM06617_L	-0.189599033	2.05E-07	1.17105
PGCM06617_R	-0.122816023	3.87E-06	0.890393
PGCM06623	-0.069052831	0.041750407	0.724343
PGCM06680	-0.031009131	0.01554972	0.250542
PGCM06698_L	-0.0133076	0.565277452	0.41029
PGCM06713	-0.03417763	0.249104196	0.569537
PGCM06726	-0.128923922	2.45E-07	0.981313
PGCM06741	-0.041857475	0.372956724	0.244829
PGCM06759	-0.03294538	0.247466198	0.158188
PGCM06760_L	-0.030305622	0.147594815	0.337289
PGCM06760_R	0.002517513	0.873394912	0.245259
PGCM06767	-0.043664379	0.238028575	0.189362
PGCM06768_L	-0.138177231	0.000171822	0.761666
PGCM06768_R	-0.035595959	0.243980178	0.234402
PGCM06772_L	-0.050681325	0.216919206	0.453488
PGCM06777	0.02470756	0.228460687	0.215848
PGCM06787_R	0.038985408	0.548387138	0.650562
PGCM06803	-0.016026398	0.967502043	0.306261
PGCM06804	-0.058511083	0.000244601	0.435153
PGCM06839	-0.011049002	0.651423687	0.169495
PGCM06847	-0.02001464	0.244246331	0.235819
PGCM06862	0.387112371	0.001318265	1.33666
PGCM06873	0.376123063	0.000492328	1.32229
PGCM06941_L	-0.046879383	0.345943496	0.389429
PGCM06956_L	-0.116676903	0.000171029	0.904577
PGCM06956_R	0.01074073	0.657685317	0.121348
PGCM06984	-0.024255339	0.476334086	0.0992292
PGCM06986	-0.00236028	0.669481427	0.155637
PGCM07010_L	-0.037978019	0.350448545	0.37337
PGCM07011	-0.022632832	0.61231122	0.336524
PGCM07076	-0.022719697	0.29785593	0.237087
PGCM07092_L	-0.077111007	0.1227418	0.568225
PGCM07092_R	-0.033769485	0.393710661	0.315964
PGCM07097	-0.003355585	0.584335155	0.0866328
PGCM07108	-0.168575034	4.98E-05	0.893914
PGCM07111_L	-0.016110664	0.931562428	0.362246
PGCM07111_R	0.050173562	0.063103237	0.274566
PGCM07123	-0.110457764	6.50E-05	0.738798
PGCM07128_L	-0.03067371	0.152683726	0.415563
PGCM07128_R	-0.037981624	0.143594546	0.15822
PGCM07137_L	-0.052048981	0.174332004	0.630513
PGCM07137_R	-0.038413397	0.291523198	0.358802
PGCM07151	0.012320277	0.67348256	0.0923284
PGCM07156	-0.008774362	0.993487518	0.152519
PGCM07169	-0.049548099	0.036798992	0.3286
PGCM07179	0.032054484	0.72473986	0.48889
PGCM07186	-0.038385229	0.072881359	0.247431
PGCM07209	0.001212787	0.657157978	0.173524
PGCM07214	-0.0355923	0.114092232	0.378116
PGCM07257	-0.03950476	0.079600405	0.392079
PGCM07260_L	-0.015462322	0.90935997	0.173807
PGCM07260_R	0.021262088	0.205201566	0.213815
PGCM07265	-0.03139446	0.091145416	0.486554
PGCM07295	0.021875039	0.516963211	0.339584
PGCM07385	-0.066975131	0.035095512	0.419927
PGCM07439	-0.009208399	0.76932343	0.149106
PGCM07466	-0.014655712	0.146735643	0.15277
PGCM07483	0.022978212	0.629365515	0.0581255
PGCM07487	-0.02067412	0.138696544	0.176478
PGCM07492	-0.033226096	0.089561904	0.423001
PGCM07525	-0.03780706	0.373750241	0.264693
PGCM07528	-0.099696337	7.47E-06	0.891273
PGCM07549_L	-0.244554834	6.23E-06	1.3477
PGCM07549_R	-0.094991559	0.011117154	0.673361
PGCM07551	0.010192899	0.495156949	0.060268
PGCM07556_L	-0.241031182	2.89E-06	1.39349
PGCM07556_R	-0.068542726	0.011488925	0.651603
PGCM07587_L	-0.231443937	0.001199189	1.06404
PGCM07587_R	0.027905264	0.53499984	0.228444
PGCM07589	-0.038305638	0.11805435	0.159788
PGCM07758	-0.010231241	0.293277327	0.0274602
PGCM07766	0.013590443	0.216649376	0.169112
PGCM07778	0.003394924	0.725241022	0.0505586
PGCT0003	-0.027063221	0.128965813	0.187056
PGCT0004	0.015766728	0.591632882	0.0758373
PGCT0005_1	-0.027568934	0.01065778	0.303878
PGCT0007	0.039537155	0.036549912	0.212394
PGCT0009	-0.014259378	0.430676346	0.483473
PGCT0011_1	-0.029372981	0.244246331	0.359564
PGCT0013	0.098223686	0.000271153	0.625225
PGCT0014	0.010719995	0.530649992	0.16569
PGCT0028	0.097527665	0.232244774	0.672274
PGCT0031	0.040018741	0.532999001	0.448516
PGCT0035	-0.054268186	0.000326484	0.660193
PGCT0037	0.043603087	0.051738496	0.448253
PGCT0038_1	-0.03888437	0.10985197	0.466
PGCT0041	-0.113470801	0.060651171	0.463783
PGCT0049_1	0.465845798	1.72E-08	1.98704
PGCT0051_1	0.007174573	0.590860787	0.0899164
PGCT0055_1	0.409637282	1.52E-13	2.71894
PGCT0064	-0.108867036	0.059312886	0.475114
PGCT0068_1	1.397395395	0.000847012	2.83241
PGCT0076	0.084495114	0.199473651	0.436506
PGCT0082_1	-1.12675063	0.029751272	1.06693
PGCT0084	0.004812521	0.750475317	0.297335
PGCT0086_1	-0.231633855	3.82E-05	0.93337
PGCT0088	1.026463357	2.02E-06	2.72006
PGCT0102_1	-0.260102666	0.058659739	0.529332
PGCT0113	0.006334443	1	0.653394
PGCT0119_1	-0.129791105	0.091772003	0.764395
PGCT0127	-0.133073193	0.051125907	0.866991
PGCT0130	-0.228140759	7.67E-07	2.17977
PGCT0146	0.039226145	0.104800175	0.232204
PGCT0152_1	0.152284647	0.007222034	0.370554
PGCT0159	-0.402411207	3.33E-11	1.71277
PGCT0163_1	-0.170467117	6.09E-06	1.00958
PGCT0166_L	-0.041885328	0.26638724	0.506731
PGCT0166_R	-0.015450817	0.818193786	0.224068
PGCT0168_1_R	-0.021439011	0.783077666	0.61483
PGCT0169	-0.002168345	0.785513694	0.391852
PGCT0174	-0.018788694	0.842531312	0.684105
PGCT0175_1_R	0.010056925	0.828731735	0.231565
PGCT0177	-0.286210475	6.79E-07	1.51618
PGCT0178_1	-0.098717211	3.38E-06	0.916996
PGCT0180_L	-0.117938942	0.000268075	0.828361
PGCT0180_R	-0.031143492	0.107801046	0.284509
PGCT0181	-0.093042698	6.73E-05	0.877919
PGCT0182	-0.045042637	0.157672859	0.299693
PGCT0183_L	-0.088542344	0.00563933	0.503275
PGCT0183_R	-0.103888628	0.005164066	0.69215
PGCT0188	-0.036820743	0.212234079	0.840836
PGCT0193_1_L	0.050288707	0.264596535	0.709889
PGCT0193_1_R	0.073214615	0.405772607	0.379539
PGCT0194_1	-0.26064506	0.004849608	0.739142
PGCT0196_1	0.127789004	0.047448925	0.482816
PGCT0201_1	-1.15E-05	0.55724552	0.227231
PGCT0204_L	-0.180274462	1.91E-08	1.22751
PGCT0204_R	-0.133779646	1.11E-07	1.05282
PGCT0205_L	-0.224707635	8.56E-06	1.1624
PGCT0205_R	-0.172825559	0.00026623	1.20728
PGCT0207_1	-0.143673742	1.37E-06	1.07392
PGCT0212_1	-0.111967921	0.000103862	0.9881
PGCT0213_1	-0.107321697	0.093920345	0.504721
PGCT0224	0.04471242	0.073563089	0.296492
PGCT0225_1	-0.001529555	0.616970426	0.291358
PGCT0226_1	0.044276862	0.519523848	0.654949
PGCT0227	0.04813024	0.426452328	0.241571
PGCT0228_1	0.024583307	0.440125887	0.59139
PGCT0229	-0.412457896	7.45E-07	1.51889
PGCT0234	0.161498216	0.095042071	0.552293
PGCT0254	0.062530668	0.007892608	0.445455
PGCT0257	0.006201923	0.406303981	0.256574
PGCT0258_R	0.091111351	0.059103715	0.260644
PGCT0264	-0.124981288	0.016825669	0.807282
PGCT0265	-0.042520414	0.052491581	0.455317
PGCT0267_1	-0.037977181	0.076021212	0.441533
PGCT0274	-0.039679293	0.1191707	0.472571
PGCT0300_1	-0.046393975	0.259695056	0.25525
PGCT0306	0.221162496	4.38E-05	1.17055
PGCT0309_1	1.810283888	0.533945345	0.51593
PGCT0318	4.094477955	0.884831893	0.0880792
PGCT0324	0.293224137	0.090642533	0.62382
PGCT0331	-0.485075863	0.000653232	1.993
PGCT0333	1.975751833	0.849808095	0.556517
PGCT0341	2.137312552	1.59E-09	3.59681
PGCT0342_1	-0.0446969	0.143027855	0.598695
PGCT0354	0.099775417	0.020098064	1.16992
PGCT0356	0.063078825	0.847128005	0.298818
PGCT0368_1	-0.080324352	0.016986639	0.55058
PGCT0370	0.131269467	0.983514654	0.704857
PGCT0374_R	0.545705454	0.003218955	1.45867
PGCT0381	-0.180786189	7.71E-05	0.971576
PGCT0382_1	-0.825364957	2.71E-06	1.7682
PGCT0386	-0.759182964	1.15E-09	2.44602
PGCT0390_1	-0.174819767	0.012728703	0.776994
PGCT0392_L	-0.11079402	0.23892316	0.835765
PGCT0392_R	-0.135623238	0.019402159	0.800894
PGCT0396_1	-0.089203584	7.37E-05	0.693726
PGCT0399_L	-0.130776352	0.043734853	0.891087
PGCT0399_R	-0.124585656	0.009131278	0.820859
PGCT0400_1_L	-0.7463214	1.79E-06	2.43289
PGCT0400_1_R	-0.886647344	1.50E-06	2.2951
PGCT0404_R	0.063441209	0.03338749	0.459001
PGCT0405_L	-0.018242665	0.344874396	0.373259
PGCT0405_R	0.009131986	0.802001415	0.336578
PGCT0407	-0.02144114	0.480552561	0.60526
PGCT0409_1_L	-0.003624215	0.592905907	0.381452
PGCT0409_1_R	0.004792933	0.97545324	0.315168
PGCT0410_L	0.006687488	0.688048688	0.255
PGCT0410_M	0.000884101	0.96130412	0.439852
PGCT0410_R	0.074610008	0.090726461	0.514052
PGCT0412_L	-0.078563907	0.016986639	0.718288
PGCT0412_R	-0.070320879	0.019020238	0.467923
PGCT0414_L	-0.094737748	5.26E-05	0.782362
PGCT0414_R	-0.031845546	0.014711285	0.145713
PGCT0415_L	-0.107475072	0.00575509	0.868488
PGCT0415_R	-0.121749883	0.001060931	0.91123
PGCT0419_L	-0.144398454	9.45E-06	0.853122
PGCT0419_R	-0.015462417	0.519523848	0.158872
PGCT0421	-0.060366446	0.137022174	0.70941
PGCT0423_1	-0.092958125	0.05729637	0.582059
PGCT0426_1	-0.115708344	0.001213976	0.714825
PGCT0429_1	-0.184939738	3.54E-06	1.11529
PGCT0430	-0.195767588	4.34E-07	1.16985
PGCT0433	-0.309497342	0.007924512	1.24127
PGCT0440_1	-0.155206618	0.007138795	0.583183
PGCT0452_1	-0.056209513	0.258364156	0.407151
PGCT0462	0.033358247	0.15632821	0.307689
PGCT0463	0.011748888	0.665799649	0.17997
PGCT0464_1	0.0117609	0.381949485	0.212858
PGCT0465	0.027868795	0.023759144	0.341708
PGCT0467_1	0.02129612	0.619541573	0.597848
PGCT0469	-0.019221908	0.111424726	0.413681
PGCT0470	0.112736783	6.51E-05	0.889811
PGCT0471_1	-0.025270532	0.030218257	0.230946
PGCT0473_1	-0.059840894	0.445064398	0.262364
PGCT0483	-0.051413951	0.411135564	0.319493
PGCT0490	0.542706114	2.92E-09	2.28273
PGCT0494	0.074320558	0.0264343	0.687394
PGCT0497	0.031786051	0.43876394	0.312426
PGCT0500	-0.010890243	0.844679365	0.311112
PGCT0501	-0.792620044	2.05E-13	4.00578
PGCT0505	-0.009839084	0.904474345	0.306967
PGCT0509_1	-0.084610509	0.026181586	0.45712
PGCT0512	-0.118169267	0.187032674	0.53376
PGCT0515	0.301310562	0.027037235	0.979421
PGCT0522	0.080078575	0.495588635	0.394076
PGCT0525_1	-0.076318273	0.025673477	0.568416
PGCT0535	-0.08681968	0.001889606	0.520277
PGCT0540_1	0.741953123	0.009189316	2.5218
PGCT0544_L	1.003271856	0.418379796	0.58745
PGCT0545_1	-0.244054577	6.34E-06	2.13241
PGCT0546_1	0.410404751	4.03E-11	1.71606
PGCT0560	1.443163747	7.55E-06	3.53889
PGCT0567_1	0.710622556	0.019625556	1.45461
PGCT0576	-0.134325977	0.05729637	0.880123
PGCT0580	-0.124933599	0.067676696	0.734293
PGCT0583	-0.192777348	9.45E-06	1.05979
PGCT0585	-0.069446284	0.020602038	0.79021
PGCT0589	0.379497295	7.96E-05	1.45763
PGCT0591_1	-0.185458594	8.26E-06	1.05086
PGCT0597_1	0.3917013	5.85E-05	1.4538
PGCT0600	-0.159405801	0.036065844	0.702707
PGCT0604_1	-0.138339174	0.002117766	0.875462
PGCT0606	0.01552187	0.486192592	0.125309
PGCT0609_1_L	-0.01739603	0.718590983	0.139179
PGCT0609_1_R	0.013383604	0.420715135	0.221991
PGCT0610	0.352492282	0.025940278	1.45948
PGCT0613_L	-0.010901486	0.765552475	0.47332
PGCT0613_R	0.044527427	0.097909359	0.423366
PGCT0614	-0.01466016	0.573837711	0.642007
PGCT0616	-2.560293865	0.393675678	1.53424
PGCT0618	0.038125414	0.331177972	0.500995
PGCT0619	-0.080478857	0.054103314	0.782441
PGCT0621_1	-0.234485063	2.10E-06	1.16346
PGCT0624	-0.173432842	7.03E-07	1.09955
PGCT0627_1	-0.181907646	1.38E-06	1.12267
PGCT0628	-0.154468987	1.45E-08	0.976431
PGCT0630	-0.021902241	0.524347036	0.351336
PGCT0631	-0.179185113	1.24E-07	1.13203
PGCT0633	-0.059394755	0.137981987	0.891804
PGCT0639_L	-0.215354862	3.67E-05	1.15409
PGCT0639_R	-0.18138371	0.000105323	1.21551
PGCT0643	0.068644899	0.416360147	0.177523
PGCT0654_1	0.021520713	0.054954097	0.313288
PGCT0658	0.029681489	0.077052697	0.179893
PGCT0659	0.007347659	0.522180358	0.408356
PGCT0660_1	-0.007052313	0.530099539	0.413499
PGCT0664_1	0.088320566	0.000548369	0.668651
PGCT0665_1	-0.005473507	0.781731629	0.418178
PGCT0669	0.014456027	0.20841276	0.235978
PGCT0670_1	-0.06667755	0.480591667	0.626431
PGCT0671	-0.296237805	4.95E-06	1.08565
PGCT0676	-0.024909126	0.285207876	0.458288
PGCT0683	0.048211889	0.022536149	0.488255
PGCT0686	0.036610344	0.084679583	0.44462
PGCT0688_1	0.108110142	0.014963848	0.69276
PGCT0690	0.039998831	0.00590605	0.378542
PGCT0702	-0.198623188	6.47E-06	1.63167
PGCT0712	-0.43434972	2.71E-05	1.58905
PGCT0721	0.669722744	0.000190854	1.95102
PGCT0723_1	0.232621075	0.044722197	1.31285
PGCT0725_1	-0.120529397	0.073579442	0.454041
PGCT0748	0.044204518	0.310069391	0.272561
PGCT0767	1.123719492	0.322660577	1.03086
PGCT0769	0.204096035	0.017411341	1.03893
PGCT0774	0.276968104	5.18E-08	1.13466
PGCT0782	-0.179148305	0.036552482	0.829275
PGCT0784	-0.155110022	0.049052014	0.81427
PGCT0793_1	-0.185236468	5.85E-05	0.886049
PGCT0795	0.147409984	0.74671715	1.37465
PGCT0796	-0.286233221	0.261942263	0.576161
PGCT0799_1	-0.066982301	0.099416307	0.368488
PGCT0805	-0.03278104	0.431656219	1.13096
PGCT0815	0.004362969	0.685926987	0.0816229
PGCT0823	-0.244092072	0.072801909	0.527174
PGCT0825_1	-0.062402052	0.061063397	0.561286
PGCT0828	0.467708391	0.002426657	1.55865
PGCT0829_1_L	0.483620636	0.00059315	1.49637
PGCT0829_1_R	0.330993808	0.019223111	1.14018
PGCT0830_L	-0.037264537	0.931335526	0.692629
PGCT0830_R	0.002497662	0.749667965	0.677505
PGCT0834_L	-0.021076951	0.387214747	0.537196
PGCT0834_R	-0.001678464	0.781731629	0.541422
PGCT0837	-0.007905159	0.627042568	0.54522
PGCT0839_1_R	0.02175003	0.383035128	0.156081
PGCT0840_1_L	-0.078310418	0.06803958	0.572319
PGCT0840_1_R	-0.074518568	0.145493871	0.589803
PGCT0843_L	-0.0881588	3.91E-05	0.782497
PGCT0843_R	-0.024752178	0.135312941	0.183561
PGCT0847_L	-0.12877	2.40E-07	1.04346
